"","Group.1","x"
"1","CP-C",4989.787242392
"2","CP-H",151002.262606732
"3","CP-L",10225.076346582
"4","CP-M",24632.7079785485
"5","CP-MH",76805.816537766
"6","CP-ML",19724.8220320622
"7","PW-C",2582.22705751225
"8","PW-H",164275.74052017
"9","PW-L",13124.5904467268
"10","PW-M",47280.9504050198
"11","PW-MH",100597.068599337
"12","PW-ML",26558.5820343752
"13","S-C",5852.46804183775
"14","S-H",175378.283897044
"15","S-L",15130.6543622025
"16","S-M",53183.772829616
"17","S-MH",87399.9661613558
"18","S-ML",36054.452816685
