tx2,gene.name
transcript/0,hectd1
transcript/1,myh14
transcript/2,sptan1
transcript/3,sptan1
transcript/4,sptan1
transcript/5,prpf8
transcript/6,lama2
transcript/7,si:ch211-212k18.4
transcript/8,med12
transcript/9,med13a
transcript/10,shroom3
transcript/11,tprb
transcript/12,znf318
transcript/13,znf318
transcript/14,c2cd3
transcript/15,pcm1
transcript/16,znf318
transcript/17,plekhh2
transcript/18,si:dkey-172j4.3
transcript/19,snrnp200
transcript/20,irs4
transcript/21,mgaa
transcript/22,ints1
transcript/23,myh11b
transcript/24,myh9a
transcript/25,sv2a
transcript/26,ints1
transcript/27,mcm3ap
transcript/28,fam171a2b
transcript/29,btaf1
transcript/30,igsf9a
transcript/31,pikfyve
transcript/32,iqgap3
transcript/33,camsap2a
transcript/34,inpp5f
transcript/35,shroom1
transcript/36,fhod3a
transcript/37,dip2ba
transcript/38,cita
transcript/39,rbm33a
transcript/40,ly75
transcript/41,kif21a
transcript/42,tnrc18
transcript/43,appl2
transcript/44,kdm3b
transcript/45,tmem131
transcript/46,atp2a3
transcript/47,prex1
transcript/48,btaf1
transcript/49,ecpas
transcript/50,synpo2la
transcript/51,trpm7
transcript/52,enschap00000028257
transcript/53,synpo2la
transcript/54,plch2a
transcript/55,lamb2l
transcript/56,ticrr
transcript/57,dync1h1
transcript/58,tp53bp1
transcript/59,slc4a2b
transcript/60,mtor
transcript/61,taf1
transcript/62,sv2a
transcript/63,synpo2la
transcript/64,si:dkeyp-77h1.4
transcript/65,pcm1
transcript/66,col5a1
transcript/67,col1a2
transcript/68,enschap00000006895
transcript/69,enschap00000006895
transcript/70,cbarpb
transcript/71,mast3a
transcript/74,nhsl1a
transcript/75,cpda
transcript/76,fgd6
transcript/77,tnrc6a
transcript/78,enschap00000014454
transcript/79,cltca
transcript/80,ncor1
transcript/81,col1a2
transcript/82,tbc1d9
transcript/83,nacad
transcript/84,cpda
transcript/85,col18a1a
transcript/86,tnrc6a
transcript/87,slc20a2
transcript/88,rock2b
transcript/89,madd
transcript/90,phf8
transcript/91,slc6a8
transcript/92,ckap5
transcript/93,wdr11
transcript/94,enschap00000014757
transcript/95,madd
transcript/96,usp19
transcript/97,pcm1
transcript/98,dip2ba
transcript/99,enschap00000012404
transcript/100,ank3b
transcript/101,f5
transcript/102,fam208a
transcript/103,acin1a
transcript/104,zdhhc9
transcript/105,tp53bp1
transcript/106,rin3
transcript/107,ptprd
transcript/108,cluha
transcript/109,enschap00000014454
transcript/110,pcbp3
transcript/111,pik3c2a
transcript/112,tp53bp1
transcript/113,myo6a
transcript/114,tbc1d13
transcript/115,enschap00000014234
transcript/116,ckap5
transcript/117,svilc
transcript/118,uacab
transcript/119,ckap5
transcript/120,tns2a
transcript/121,prkd1
transcript/122,si:ch211-266o15.1
transcript/123,apba1
transcript/124,auts2
transcript/125,usp19
transcript/126,znf687b
transcript/127,synpo2lb
transcript/128,arhgap35
transcript/129,disp2
transcript/130,znfx1
transcript/131,enschap00000012404
transcript/132,ltn1
transcript/133,per1b
transcript/134,foxo1a
transcript/135,nup98
transcript/136,col1a2
transcript/137,kdrl
transcript/138,myo18ab
transcript/139,znf865
transcript/140,pc
transcript/141,atp1a3a
transcript/142,nid2a
transcript/143,ank3a
transcript/144,kiaa1549l
transcript/145,col1a2
transcript/146,kansl1b
transcript/147,pcbp3
transcript/148,pcbp3
transcript/149,cltca
transcript/150,lama4
transcript/151,pcm1
transcript/152,tasorb
